Kód obce,Název obce,Počet voličů,Počet obálek,Počet platných hlasů,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
562726,Báňovice,90,71,71,9,0,0,2,0,1,0,0,1,0,0,0,4,0,5,11,0,0,33,0,0,0,0,5,0
562548,Bednárec,87,47,47,8,0,0,8,0,3,0,1,0,0,0,0,9,0,0,14,0,0,3,0,0,0,1,0,0
561053,Bednáreček,156,101,99,9,0,0,8,0,1,13,2,3,2,0,0,4,0,5,34,0,0,4,0,0,1,1,12,0
561711,Blažejov,367,233,233,21,1,0,21,0,9,33,2,4,6,2,0,18,1,5,76,0,0,5,0,2,0,0,24,3
562742,Bořetín,77,54,53,3,0,0,6,0,1,1,0,2,2,0,0,4,0,2,22,0,0,4,0,0,1,0,5,0
507733,Březina,107,71,71,8,0,0,6,0,1,7,0,0,0,1,0,5,0,1,16,0,1,16,0,0,0,1,8,0
546020,Budeč,168,91,91,11,0,0,1,0,5,11,0,2,4,0,1,6,0,5,19,0,1,17,0,0,0,0,7,1
546038,Budíškovice,596,362,360,27,3,1,35,1,10,22,1,4,5,1,0,38,0,4,82,0,2,81,0,3,1,3,34,2
509191,Cep,160,89,88,15,0,0,4,0,4,14,0,1,2,2,1,12,0,1,18,0,0,5,0,0,0,0,8,1
546054,Cizkrajov,448,233,233,21,0,4,8,0,9,25,0,4,1,0,0,25,0,2,87,0,1,21,0,0,0,0,25,0
509116,Červený Hrádek,169,112,111,3,0,0,10,0,6,12,1,1,2,1,0,18,0,2,21,0,0,18,0,0,0,1,14,1
546089,České Velenice,2473,1148,1140,110,2,3,143,3,46,124,18,14,11,0,1,109,2,48,310,0,0,32,2,5,1,5,148,3
546097,Český Rudolec,781,497,494,43,0,0,26,1,20,53,4,4,0,0,1,42,0,16,168,1,2,50,2,2,1,0,54,4
546101,Číměř,582,313,312,22,0,0,17,0,10,45,3,1,7,0,0,44,1,12,108,0,1,7,0,2,0,0,31,1
561703,Člunek,397,269,269,15,0,0,20,0,8,42,0,4,3,0,0,16,0,10,104,0,0,7,0,1,0,0,39,0
546127,Dačice,6115,3829,3810,403,7,3,253,5,60,425,27,15,52,4,8,360,2,109,969,0,10,683,2,19,7,4,379,4
546143,Dešná,504,223,223,9,1,1,30,0,3,33,2,2,1,0,1,21,0,6,79,0,0,10,0,0,1,0,23,0
546151,Deštná,608,368,367,60,0,1,26,1,12,30,3,2,5,2,3,33,1,14,104,0,4,24,0,0,0,1,41,0
529753,Dívčí Kopy,61,45,45,2,0,0,2,0,1,4,1,0,2,0,0,4,0,0,19,0,0,1,0,0,0,1,8,0
562416,Dobrohošť,37,30,30,2,0,0,1,0,0,4,0,0,0,0,0,3,0,0,6,0,0,14,0,0,0,0,0,0
562467,Dolní Pěna,268,198,198,40,0,0,8,0,6,15,2,1,8,0,1,26,0,14,51,0,0,4,0,4,0,0,16,2
562602,Dolní Žďár,118,84,84,9,0,1,6,0,2,13,0,0,2,0,0,9,0,5,18,0,0,2,0,1,0,0,16,0
562840,Domanín,299,205,204,32,0,0,18,0,15,17,4,2,0,0,0,25,0,8,36,0,2,12,1,0,0,0,30,2
507610,Doňov,61,48,47,11,0,0,2,0,1,2,0,0,0,1,0,1,0,2,17,0,0,2,0,0,0,0,8,0
560987,Drunče,42,33,33,1,0,0,1,0,3,3,4,0,0,0,0,2,0,0,14,0,1,1,0,0,0,0,3,0
562815,Dunajovice,174,99,96,11,0,0,5,1,3,8,1,0,0,0,0,4,0,4,19,0,0,5,0,4,2,1,26,2
509141,Dvory nad Lužnicí,281,205,204,16,0,0,11,1,6,18,4,1,5,1,2,18,0,4,54,0,1,11,0,4,1,0,46,0
562637,Frahelž,125,79,78,5,0,0,4,0,3,13,3,2,0,0,0,0,0,1,45,0,1,1,0,0,0,0,0,0
562696,Hadravova Rosička,45,38,38,3,0,0,5,0,0,1,0,0,1,0,0,3,0,0,21,0,0,0,1,0,0,0,3,0
562807,Halámky,152,117,116,16,0,0,9,0,2,4,0,2,4,0,1,2,0,6,41,0,0,11,0,0,0,0,17,1
562386,Hamr,285,175,174,17,1,0,9,0,4,20,0,0,0,0,0,27,0,7,69,0,0,2,0,1,0,1,16,0
546291,Hatín,171,124,124,10,1,0,16,0,7,18,0,2,3,0,0,6,0,6,45,0,0,2,0,1,0,0,7,0
546305,Heřmaneč,71,56,55,3,1,0,5,0,0,2,1,0,1,1,0,6,0,1,11,0,0,17,0,0,0,0,6,0
598658,Horní Meziříčko,87,50,50,1,0,0,6,0,4,7,0,0,0,0,0,4,0,3,9,0,0,4,0,1,0,0,11,0
562785,Horní Němčice,67,41,41,3,0,0,1,0,0,11,0,0,0,0,0,5,0,0,15,0,0,2,1,0,0,0,3,0
546364,Horní Pěna,486,310,306,24,1,0,40,0,14,46,3,4,8,0,0,37,0,4,78,0,0,5,0,2,0,0,40,0
546381,Horní Radouň,204,140,139,5,0,0,28,0,4,18,3,0,0,0,0,13,0,7,39,0,0,1,0,2,0,0,19,0
561061,Horní Skrýchov,133,98,97,25,0,0,3,0,8,4,0,0,5,0,0,13,0,6,24,0,0,1,0,1,0,0,7,0
562319,Horní Slatina,116,80,80,6,0,0,5,0,0,7,0,0,0,0,0,6,0,3,28,0,0,23,0,0,0,0,2,0
546402,Hospříz,331,186,185,8,0,0,7,0,12,27,3,4,0,0,1,8,0,6,59,0,1,6,1,1,0,1,39,1
562831,Hrachoviště,65,39,39,4,0,0,6,0,0,9,0,0,0,0,0,2,0,1,12,0,0,4,0,0,0,0,1,0
546445,Hříšice,260,186,185,17,1,0,4,0,6,7,4,2,2,0,0,15,0,6,52,0,0,54,0,0,0,0,15,0
546461,Chlum u Třeboně,1716,1073,1061,85,0,0,78,2,72,155,18,13,3,0,1,89,1,23,335,0,0,45,0,5,1,6,129,0
546500,Jarošov nad Nežárkou,915,647,644,60,2,4,60,0,28,46,6,4,17,0,0,78,0,22,190,0,3,32,0,4,0,0,88,0
562769,Jilem,106,83,81,10,2,0,4,0,4,10,1,2,0,0,0,5,0,2,29,0,0,2,0,0,0,0,10,0
545881,Jindřichův Hradec,17383,10503,10433,1166,14,6,1031,15,354,975,174,77,273,6,25,1221,2,502,3096,0,31,401,6,67,12,17,918,44
562491,Kačlehy,74,56,56,3,0,0,2,0,1,5,0,0,2,0,0,9,0,0,20,0,0,2,0,1,0,0,10,1
598631,Kamenný Malíkov,65,45,45,6,0,0,5,0,11,2,1,0,2,0,1,5,0,4,8,0,0,0,0,0,0,0,0,0
546542,Kardašova Řečice,1780,1065,1058,105,3,0,104,1,59,93,8,9,16,2,1,109,2,53,296,0,1,51,3,11,1,3,123,4
562688,Klec,158,100,100,11,0,0,6,0,4,17,1,0,0,0,0,10,0,0,33,0,3,1,0,0,0,1,13,0
509108,Kostelní Radouň,242,170,168,17,0,1,17,1,13,16,0,0,0,0,0,24,1,8,44,0,0,6,0,0,0,0,19,1
508357,Kostelní Vydří,158,110,110,7,0,0,13,0,4,8,2,0,4,0,0,9,0,3,18,0,0,36,0,0,0,0,5,1
546615,Kunžak,1204,781,772,87,2,0,49,1,31,81,10,9,12,1,1,112,1,33,191,0,3,75,1,3,2,1,66,0
546623,Lásenice,438,264,264,27,1,0,20,0,3,39,8,1,8,0,1,21,0,12,80,1,0,10,0,2,0,1,29,0
546666,Lodhéřov,533,315,312,28,0,0,21,0,6,64,3,4,5,0,0,41,0,3,107,0,0,5,0,1,1,0,23,0
546674,Lomnice nad Lužnicí,1485,890,887,104,0,1,96,0,23,78,9,5,17,1,3,71,2,55,255,0,3,45,1,4,4,0,109,1
508501,Lužnice,336,238,237,34,4,0,16,0,10,31,12,5,4,0,0,16,0,18,47,1,1,5,1,0,3,0,25,4
546712,Majdalena,409,252,250,25,0,0,19,1,5,22,5,4,1,0,0,25,0,10,64,0,0,25,1,3,5,1,34,0
546798,Nová Bystřice,2675,1428,1425,144,1,0,149,0,48,226,24,9,39,2,4,120,0,55,410,0,2,44,0,8,1,1,136,2
562734,Nová Olešná,105,71,71,13,0,0,9,0,4,6,0,1,1,0,0,1,0,5,26,0,1,3,0,0,0,0,1,0
546801,Nová Včelnice,1883,1040,1038,92,0,1,96,0,36,112,13,7,10,0,1,99,0,41,379,0,3,30,0,6,0,1,106,5
562360,Nová Ves nad Lužnicí,276,149,148,12,0,1,10,0,5,20,4,1,1,0,0,11,0,1,45,2,0,5,0,0,0,0,30,0
546844,Novosedly nad Nežárkou,570,368,360,56,0,0,22,1,16,50,7,3,5,0,0,33,0,21,95,0,0,11,0,1,0,1,38,0
562475,Okrouhlá Radouň,175,118,113,15,0,0,13,0,3,17,0,3,5,0,0,5,0,3,28,0,0,3,0,0,0,0,18,0
507717,Peč,356,210,210,10,0,0,19,0,9,36,2,1,6,0,0,17,0,2,56,0,0,23,0,1,0,0,28,0
546917,Písečné,424,215,215,8,2,2,21,0,3,33,1,3,2,0,0,26,0,11,57,0,3,14,0,8,0,0,21,0
561070,Pístina,91,68,68,5,1,0,11,0,5,9,0,0,3,0,0,6,0,2,10,0,0,2,0,1,0,0,11,2
509078,Plavsko,376,259,259,32,1,1,22,0,21,15,1,2,10,0,2,35,0,13,61,0,0,5,1,2,0,2,32,1
507628,Pleše,159,92,91,5,0,0,10,0,1,9,0,2,1,0,1,9,0,7,28,0,1,6,0,0,0,0,10,1
546968,Pluhův Žďár,506,298,296,32,0,0,23,0,15,22,3,3,3,0,1,24,0,10,105,2,3,17,1,2,1,0,27,2
562459,Polště,96,65,65,10,0,1,7,1,4,8,1,0,0,0,0,1,0,5,13,1,0,1,0,0,0,0,12,0
562670,Ponědraž,97,52,52,3,0,0,8,0,0,3,0,1,2,0,0,9,0,3,18,0,0,2,0,0,0,1,2,0
562653,Ponědrážka,68,45,45,7,0,0,4,0,1,1,0,0,0,0,0,11,0,0,18,0,0,0,0,0,0,0,2,1
546992,Popelín,411,261,257,15,2,0,20,0,9,34,7,2,4,0,0,29,0,7,88,0,1,8,0,0,0,0,30,1
561088,Příbraz,217,139,138,24,0,1,13,2,8,10,3,2,0,0,1,16,0,6,30,0,0,2,0,1,2,0,17,0
547069,Rapšach,445,243,241,36,0,0,23,0,4,39,3,0,1,1,0,26,1,7,66,0,0,7,0,0,2,0,24,1
507784,Ratiboř,173,106,106,8,0,0,14,0,7,4,1,0,0,0,0,4,0,4,48,1,1,1,0,1,0,0,12,0
547085,Rodvínov,458,327,326,27,0,0,28,1,10,23,3,1,5,0,0,38,1,12,112,0,0,12,0,4,0,1,48,0
508004,Roseč,173,113,113,9,0,1,13,0,6,7,4,1,0,0,0,14,0,5,29,0,0,12,0,0,0,2,10,0
560995,Rosička,57,34,34,1,0,0,1,0,2,1,0,0,1,0,0,3,0,1,13,0,0,3,0,0,0,1,7,0
547166,Slavonice,2027,1181,1178,130,4,0,77,4,18,199,19,10,10,1,0,102,0,38,339,2,2,62,1,0,2,0,155,3
561045,Smržov,100,62,62,10,0,0,4,0,2,5,0,1,0,0,0,2,0,3,29,0,0,1,0,1,0,0,4,0
562378,Staňkov,204,148,148,21,1,4,16,1,5,12,1,1,0,0,1,10,0,4,52,0,1,4,0,1,0,1,12,0
547204,Staré Hobzí,420,212,212,22,0,0,13,0,10,24,0,1,5,1,1,16,0,5,58,2,0,28,0,1,0,1,24,0
547212,Staré Město pod Landštejnem,395,203,201,14,6,0,10,1,0,26,5,1,3,0,0,19,0,6,77,0,0,4,1,3,0,0,22,3
547221,Stráž nad Nežárkou,717,446,442,56,1,0,25,0,30,47,3,0,2,3,3,54,1,22,126,0,0,11,1,1,1,2,53,0
547239,Strmilov,1160,658,656,77,3,0,43,3,32,65,15,5,19,0,1,62,0,19,183,1,0,43,0,4,2,2,73,4
547247,Stříbřec,398,266,265,27,0,0,26,0,10,52,2,4,1,0,0,14,0,4,79,0,1,10,0,1,1,0,33,0
508152,Střížovice,486,256,256,14,0,0,24,0,7,34,5,3,7,0,0,42,1,5,65,0,0,11,0,0,0,1,33,4
547263,Studená,1930,1213,1210,111,0,2,90,1,41,184,14,9,15,2,0,138,1,50,320,0,4,115,0,5,2,5,99,2
547280,Suchdol nad Lužnicí,2937,1669,1657,199,0,1,172,0,54,142,23,13,30,0,4,142,3,55,535,2,4,77,5,9,0,5,178,4
561029,Světce,119,69,69,4,0,0,15,0,8,6,0,0,0,0,0,10,0,3,15,0,0,2,0,0,0,0,6,0
562327,Třebětice,241,173,172,10,0,0,19,0,1,6,0,2,2,1,0,15,0,0,35,0,0,72,0,0,0,0,7,2
547336,Třeboň,7334,4914,4879,780,4,1,383,8,177,396,109,32,56,5,15,524,4,318,1257,2,5,305,1,60,10,5,400,22
507644,Újezdec,59,41,40,6,0,0,1,0,2,3,0,0,2,1,0,2,0,1,16,0,0,4,0,0,1,0,1,0
562599,Velký Ratmírov,192,115,115,6,1,0,11,0,5,19,0,3,7,0,0,7,0,0,35,1,0,5,0,2,1,0,12,0
561037,Vícemil,62,43,43,6,1,0,4,0,1,1,0,0,0,0,0,4,0,4,5,0,0,2,0,0,0,0,15,0
507652,Višňová,65,51,49,3,0,0,10,0,3,4,0,1,0,0,1,4,0,1,17,0,0,2,0,0,0,0,3,0
598640,Vlčetínec,47,32,32,6,0,0,2,0,2,2,0,1,1,0,0,8,0,0,3,0,0,0,0,0,0,0,7,0
547441,Volfířov,601,418,415,55,0,0,33,0,10,49,3,6,5,0,1,65,0,13,79,0,1,60,0,2,0,0,32,1
562629,Vydří,97,61,61,4,0,0,6,0,5,2,0,0,1,0,0,9,0,0,28,0,0,1,0,0,0,0,5,0
508683,Záblatí,71,52,51,4,0,0,3,0,1,2,1,0,0,0,0,3,0,7,11,1,0,7,0,1,0,0,9,1
507695,Záhoří,98,57,56,9,0,0,5,0,2,7,1,1,0,0,0,3,0,2,15,0,0,0,0,0,1,1,8,1
547468,Zahrádky,204,139,139,21,0,0,19,0,2,20,1,1,0,1,0,18,0,2,32,0,0,8,0,0,0,0,13,1
529761,Žďár,89,65,65,7,0,0,3,0,6,3,0,1,1,0,0,4,0,4,24,0,0,4,0,0,0,0,7,1
562424,Županovice,55,23,23,0,0,0,0,0,0,9,0,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,7,0
